Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
1,i1,0,6.924089765,151.643578,2618,4235.924,0.055710823,0.222843293,4235.924,0,1.022843293,1.384817953,2.305721892,0.00603329,0.333333333,0.15,0,0,0,0,0,0.082458982,0.996594459,0,0,0,0,2,6,2,4,,,,,,,
2,i1,6.11,11.48542403,262.3831679,1306.507129,2113.928535,0.088816466,0.355265866,2113.928535,0,1.155265866,2.297084805,3.8246462,0.012712535,0.333333333,0.15,0,0,0,0,0,0,0.795675476,0.605723152,0,0,0,2,6,2,4,,,,,,,
3,i1,7.52,16.06644677,253.1983823,1378.261482,2230.027078,0.086139712,0.344558846,2230.027078,0,1.144558846,3.213289354,5.350126775,0.012137844,0.333333333,0.15,0,0,0,0,0,0,0.497406701,0.867517478,0,0,0,2,6,2,4,,,,,,,
4,i1,9.87,19.7842379,226.1583642,1618.046972,2618,0.078193767,0.312775067,2618,0,1.112775067,3.956847581,6.588151222,0.010465625,0.333333333,0.15,0,0,0,0,0,0,0,0.91811802,0.39630708,0,0,2,6,2,4,,,,,,,
5,i1,19.74,18.89536614,280.9593795,1174.010858,1899.549568,0.094197617,0.376790467,1899.549568,0,1.176790467,3.779073229,6.292156926,0.013884622,0.333333333,0.15,0,0,0,0,0,0,0,0.646311997,0.763073262,0,0,2,6,2,4,,,,,,,
6,i1,23.5,19.89054483,271.6395868,1238.488416,2003.874256,0.091503214,0.366012854,2003.874256,0,1.166012854,3.978108965,6.623551427,0.013294974,0.333333333,0.15,0,0,0,0,0,0.170215561,0,0,0.985406851,0,0,2,6,2,4,,,,,,,
7,i1,29.61,18.41835913,208.6459422,1800.656178,2913.461696,0.072991971,0.291967885,2913.461696,0,1.091967885,3.683671827,6.133313592,0.0093993,0.333333333,0.15,0,0,0,0,0,0.70528444,0,0,0.708924438,0,0,2,6,2,4,,,,,,,
8,i1,31.02,19.61689046,299.7569897,1054.951376,1706.911326,0.099600456,0.398401822,1706.911326,0,1.198401822,3.923378092,6.532424524,0.015083412,0.333333333,0.15,0,0,0,0,0,0.993858378,0,0,0.110659499,0,0,2,6,2,4,,,,,,,
9,i1,33.37,19.67318962,244.0936351,1453.956638,2352.50184,0.083475356,0.333901425,2352.50184,0,1.133901425,3.934637924,6.551172144,0.011571438,0.333333333,0.15,0,0,0,0,0,0.707106781,0.707106781,0,0,0,0,2,6,2,4,,,,,,,
10,i1,43.24,11.76,159.3154315,2481.703007,4015.395466,0.058071364,0.232285456,4015.395466,0,1.032285456,2.352,3.91608,0.006475906,0.333333333,0.15,0,0,0,0,0,0,0.982764317,0.184862916,0,0,0,2,6,2,4,,,,,,,
11,i1,47,18.10493019,226.1631791,1618,4235.924,0.078195191,0.312780762,2617.924,0,1.112780762,3.620986039,6.028941754,0.01046592,0.574349177,0.15,0,0,0,0,0,0.714233565,0.699907433,0,0,0,0,2,6,2,4,,,,,,,
12,i1,56.66371681,26.48139277,271.6446307,1238.452462,3242.268547,0.091504675,0.366018699,2003.816084,0,1.166018699,5.296278555,8.818303794,0.013295292,0.329876978,0.15,0,0,0,0,0,0.417386555,0.908729038,0,0,0,0,2,6,2,4,,,,,,,
13,i1,58.89380531,34.27450342,280.9644556,1173.976776,3073.4712,0.094199081,0.376796326,1899.494424,0,1.176796326,6.854900683,11.41340964,0.013884944,0.238494847,0.15,0,0,0,0,0,0,0.911463029,0.411381996,0,0,0,2,6,2,4,,,,,,,
14,i1,62.61061947,40.08988933,151.6476965,2617.924,6853.725032,0.055712094,0.222848375,4235.801032,0,1.022848375,8.017977865,13.34993315,0.006033526,0.189464571,0.15,0,0,0,0,0,0,0.687734378,0.725962413,0,0,0,2,6,2,4,,,,,,,
15,i1,62.61061947,3.872066692,200.074273,1899.494424,4972.876402,0.070428837,0.28171535,3073.381978,0,1.08171535,0.774413338,1.289398208,0.00888249,0.574349177,0.18,0,0,0,0,0,0.652653789,0.757656276,0,0,0,0,2,6,2,4,,,,,,,
